Accn	Pfam	Pfam_desc	CDD	CDD_desc	InterPro	InterPro_desc	GO	KEGG	EC	TIGRFAM	TIGRFAM_desc	HAMAP	HAMAP_desc	CAZy	KoFamScan
k141_4977_107891_110195_-	PF00266;PF02568;PF02926	Aminotransferase class-V;Thiamine biosynthesis protein (ThiI);THUMP domain			IPR003720;IPR000192;IPR020536;IPR004114	tRNA sulfurtransferase ThiI;Aminotransferase class V domain;Thil, AANH domain;THUMP domain	GO:0016783;GO:0034227;-;GO:0004810;GO:0003723			TIGR00342	TIGR00342: tRNA sulfurtransferase ThiI	MF_00021	tRNA sulfurtransferase [thiI].		K03151;K04487
k141_4977_110487_111291_-	PF07238	PilZ domain			IPR009875	PilZ domain	GO:0035438								
k141_4977_111674_112429_-	PF02565;PF11967	Recombination protein O C terminal;Recombination protein O N terminal			IPR003717;IPR022572	Recombination protein O, RecO;DNA replication/recombination mediator RecO, N-terminal	GO:0006281;GO:0006310;-			TIGR00613	reco: DNA repair protein RecO	MF_00201	DNA repair protein RecO [recO].		K03584
k141_4977_112445_112588_-	PF14006	YqzL-like protein			IPR025617	YqzL-like protein	-								
k141_4977_112737_113630_-	PF01926;PF07650	50S ribosome-binding GTPase;KH domain			IPR005662;IPR006073;IPR004044;IPR005225	GTP-binding protein Era;GTP binding domain;K Homology domain, type 2;Small GTP-binding protein domain	GO:0003723;GO:0005525			TIGR00231;TIGR00436	small_GTP: small GTP-binding protein domain;era: GTP-binding protein Era	MF_00367	GTPase Era [era].		K03595
k141_4977_113686_114072_-	PF00383	Cytidine and deoxycytidylate deaminase zinc-binding region			IPR002125;IPR006262	Cytidine and deoxycytidylate deaminase domain;Cytidine deaminase, homotetrameric	-;GO:0004126;GO:0008270;GO:0009972			TIGR01354	cyt_deam_tetra: cytidine deaminase				K01489
k141_4977_114215_114776_-	PF02130	Endoribonuclease YbeY			IPR002036	Endoribonuclease YbeY	GO:0004222;GO:0006364			TIGR00043	TIGR00043: rRNA maturation RNase YbeY	MF_00009	Endoribonuclease YbeY [ybeY].		K07042
k141_4977_114877_118111_-	PF01966;PF02562;PF07697;PF07698	HD domain;PhoH-like protein;7TM-HD extracellular;7TM receptor with intracellular HD hydrolase			IPR006674;IPR003714;IPR011624;IPR011621;IPR006675	HD domain;PhoH-like protein;Metal-dependent phosphohydrolase, 7TM extracellular domain;Metal-dependent phosphohydrolase, 7TM intracellular domain;HDIG domain	-;GO:0005524			TIGR00277	HDIG: HDIG domain				K07037;K06217
k141_4977_11553_12494_-	PF01795	MraW methylase family			IPR002903	Ribosomal RNA small subunit methyltransferase H	GO:0008168			TIGR00006	TIGR00006: 16S rRNA (cytosine(1402)-N(4))-methyltransferase	MF_01007	Ribosomal RNA small subunit methyltransferase H [rsmH].		K03438
k141_4977_118124_119234_-	PF06898	Putative stage IV sporulation protein YqfD			IPR010690	Putative stage IV sporulation YqfD	-			TIGR02876	spore_yqfD: sporulation protein YqfD				K06438
k141_4977_119336_120711_-	PF01522;PF07873	Polysaccharide deacetylase;YabP family			IPR002509;IPR022476;IPR022477;IPR014235	NodB homology domain;Spore protein YabP/YqfC;Sporulation protein YqfC;Peptidoglycan-N-acetylmuramic acid deacetylase PdaA	GO:0005975;GO:0016810;-			TIGR02856;TIGR02884	spore_yqfC: sporulation protein YqfC;spore_pdaA: delta-lactam-biosynthetic de-N-acetylase			CE4	K01567;K22278
k141_4977_120862_122415_-	PF05949	Bacterial protein of unknown function (DUF881)			IPR010273	Protein of unknown function DUF881	-								
k141_4977_122588_123671_+															
k141_4977_123731_126238_-	PF00483;PF02878;PF02880	Nucleotidyl transferase;Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I;Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III			IPR005835;IPR005844;IPR005846	Nucleotidyl transferase domain;Alpha-D-phosphohexomutase, alpha/beta/alpha domain I;Alpha-D-phosphohexomutase, alpha/beta/alpha domain III	GO:0009058;GO:0016779;GO:0005975;GO:0016868								K16881
k141_4977_12544_12975_-	PF02381	MraZ protein, putative antitoxin-like			IPR003444;IPR020603	Transcriptional regulator MraZ;MraZ domain	GO:0003700;GO:0006355;-			TIGR00242	TIGR00242: division/cell wall cluster transcriptional repressor MraZ	MF_01008	Transcriptional regulator MraZ [mraZ].		K03925
k141_4977_126341_126887_+	PF16760	Starch/carbohydrate-binding module (family 53)			IPR005085	Carbohydrate binding module family 25	GO:2001070							CBM25	
k141_4977_127106_127583_+															
k141_4977_127737_127994_+					IPR027598	Amphi-Trp domain	-			TIGR04354	amphi-Trp: amphi-Trp domain				
k141_4977_128109_131510_+	PF00534;PF01636;PF13439	Glycosyl transferases group 1;Phosphotransferase enzyme family;Glycosyltransferase Family 4			IPR001296;IPR002575;IPR028098;IPR014255	Glycosyl transferase, family 1;Aminoglycoside phosphotransferase;Glycosyltransferase subfamily 4-like, N-terminal domain;Spore coat protein CotS	GO:0016757;-			TIGR02906	spore_CotS: spore coat protein, CotS family			GT4;GT5	K06337;K06331;K06338
k141_4977_131582_132568_+	PF16363	GDP-mannose 4,6 dehydratase			IPR016040	NAD(P)-binding domain	-								
k141_4977_13199_14396_-	PF01098	Cell cycle protein			IPR001182;IPR011923	Probable peptidoglycan glycosyltransferase FtsW/RodA;Probable peptidoglycan glycosyltransferase RodA/MrdB	GO:0016020;GO:0051301;GO:0008360			TIGR02210	rodA_shape: rod shape-determining protein RodA				K05837
k141_4977_1324_1749_-	PF00275	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)			IPR001986	Enolpyruvate transferase domain	GO:0016765								
k141_4977_132572_133718_-	PF11823	Putative Se/S carrier protein-like			IPR021778	Putative Se/S carrier protein-like	-								
k141_4977_133990_134256_-	PF04232	Stage V sporulation protein S (SpoVS)			IPR007347	Sporulation stage V, protein S	-								K06416
k141_4977_134422_135204_-	PF13277	YmdB-like protein			IPR005235	Metallophosphoesterase, YmdB-like	-			TIGR00282	TIGR00282: metallophosphoesterase, MG_246/BB_0505 family				K09769
k141_4977_135329_136903_-	PF00013;PF01966;PF12072	KH domain;HD domain;RNase Y N-terminal region			IPR017705;IPR004088;IPR006674;IPR022711;IPR006675	Ribonuclease Y;K Homology domain, type 1;HD domain;Ribonuclease Y, N-terminal;HDIG domain	GO:0003723;GO:0006402;GO:0016020;-			TIGR00277;TIGR03319	HDIG: HDIG domain;RNase_Y: ribonuclease Y	MF_00335	Ribonuclease Y [rny].		K18682
k141_4977_137021_140678_-	PF00763;PF02882;PF08497;PF11842	Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain;Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain;Radical SAM N-terminal;Domain of unknown function (DUF3362)			IPR022946;IPR000672;IPR020630;IPR020631;IPR013704;IPR024560	Uncharacterised protein family UPF0313;Tetrahydrofolate dehydrogenase/cyclohydrolase;Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain;Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain;Uncharacterised protein family UPF0313, N-terminal;Uncharacterised protein family UPF0313, C-terminal	-;GO:0004488			TIGR03904	SAM_YgiQ: uncharacterized radical SAM protein YgiQ	MF_01251;MF_01576	UPF0313 protein YgiQ [ygiQ].;Bifunctional protein FolD [folD].		K01491
k141_4977_140770_144364_-	PF00574;PF01580;PF09397;PF13491;PF14035;PF17854	Clp protease;FtsK/SpoIIIE family;Ftsk gamma domain;4TM region of DNA translocase FtsK/SpoIIIE;YlzJ-like protein;FtsK alpha domain			IPR023562;IPR002543;IPR018541;IPR025199;IPR025619;IPR041027	Clp protease proteolytic subunit /Translocation-enhancing protein TepA;FtsK domain;FtsK gamma domain;DNA translocase FtsK, 4TM region;YlzJ-like protein;FtsK alpha domain	-;GO:0000166;GO:0003677;GO:0005524								K03466;K01358
k141_4977_144515_145813_-															
k141_4977_14526_14716_-	PF09388	Spo0E like sporulation regulatory protein			IPR018540	Aspartyl-phosphate phosphatase Spo0E-like	GO:0043937								
k141_4977_145832_148375_-															
k141_4977_148452_150862_-	PF05137;PF07963	Fimbrial assembly protein (PilN);Prokaryotic N-terminal methylation motif			IPR007813;IPR012902	Type IV pilus inner membrane component PilN;Prokaryotic N-terminal methylation site	-			TIGR02532	IV_pilin_GFxxxE: prepilin-type N-terminal cleavage/methylation domain				
k141_4977_14899_17162_-	PF00675;PF01790;PF05193	Insulinase (Peptidase family M16);Prolipoprotein diacylglyceryl transferase;Peptidase M16 inactive domain			IPR001640;IPR011765;IPR007863	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase Lgt;Peptidase M16, N-terminal;Peptidase M16, C-terminal	GO:0005886;GO:0008961;GO:0042158;-			TIGR00544	lgt: prolipoprotein diacylglyceryl transferase	MF_01147	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase [lgt].		K13292
k141_4977_150888_151454_-	PF07963	Prokaryotic N-terminal methylation motif			IPR012902	Prokaryotic N-terminal methylation site	-			TIGR02532	IV_pilin_GFxxxE: prepilin-type N-terminal cleavage/methylation domain				
k141_4977_151564_152094_-	PF07963	Prokaryotic N-terminal methylation motif			IPR012902	Prokaryotic N-terminal methylation site	-			TIGR02532	IV_pilin_GFxxxE: prepilin-type N-terminal cleavage/methylation domain				
k141_4977_152251_153465_-	PF00482	Type II secretion system (T2SS), protein F			IPR018076	Type II secretion system protein GspF domain	-								K02653
k141_4977_153671_153829_+															
k141_4977_153924_154979_-	PF00437	Type II/IV secretion system protein			IPR001482;IPR006321	Type II/IV secretion system protein;Pilus retraction protein PilT/PilU	-;GO:0005524			TIGR01420	pilT_fam: twitching motility protein				K02669
k141_4977_154995_157358_-	PF00437;PF05157	Type II/IV secretion system protein;Type II secretion system (T2SS), protein E, N-terminal domain			IPR001482;IPR007831	Type II/IV secretion system protein;Type II secretion system protein GspE, N-terminal	-								K02652;K02454
k141_4977_157443_158141_-															
k141_4977_158452_158546_-															
k141_4977_158700_159554_-	PF03773	Predicted permease			IPR005524	Predicted permease DUF318	-								K07089
k141_4977_159663_161144_-	PF01451;PF01758	Low molecular weight phosphotyrosine protein phosphatase;Sodium Bile acid symporter family			IPR023485;IPR002657;IPR004706	Phosphotyrosine protein phosphatase I;Bile acid:sodium symporter/arsenical resistance protein  Acr3;Arsenical-resistance protein Acr3	-;GO:0016020;GO:0015103;GO:0015297			TIGR00832	acr3: arsenical-resistance protein				K03325;K03741
k141_4977_161267_161716_-	PF01022	Bacterial regulatory protein, arsR family			IPR001845	HTH ArsR-type DNA-binding domain	GO:0003700;GO:0006355								K03892
k141_4977_167_406_+															
k141_4977_17199_18563_-	PF05193	Peptidase M16 inactive domain			IPR007863	Peptidase M16, C-terminal	-								
k141_4977_18662_18829_+															
k141_4977_18876_19814_-	PF01687;PF06574	Riboflavin kinase;FAD synthetase			IPR015865;IPR015864;IPR002606	Riboflavin kinase domain, bacterial/eukaryotic;FAD synthetase;Riboflavin kinase, bacterial	GO:0008531;GO:0009231;GO:0003919			TIGR00083	ribF: riboflavin biosynthesis protein RibF				K11753
k141_4977_1896_3011_-	PF03033;PF04101	Glycosyltransferase family 28 N-terminal domain;Glycosyltransferase family 28 C-terminal domain			IPR006009;IPR004276;IPR007235	N-acetylglucosaminyltransferase, MurG;Glycosyltransferase family 28, N-terminal domain;Glycosyl transferase, family 28, C-terminal	GO:0050511;GO:0005975;GO:0016758;GO:0030259			TIGR01133	murG: undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase	MF_00033	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [murG].	GT28	K02563
k141_4977_19881_20774_-	PF01509;PF16198	TruB family pseudouridylate synthase (N terminal domain);tRNA pseudouridylate synthase B C-terminal domain			IPR014780;IPR002501;IPR032819	tRNA pseudouridine synthase II, TruB;Pseudouridine synthase II, N-terminal;tRNA pseudouridylate synthase B, C-terminal	GO:0001522;GO:0003723;GO:0009451;GO:0009982;GO:0006396;-			TIGR00431	TruB: tRNA pseudouridine(55) synthase	MF_01080	tRNA pseudouridine synthase B [truB].		K03177
k141_4977_20778_21734_-	PF01368;PF02272	DHH family;DHHA1 domain			IPR001667;IPR003156	DDH domain;DHHA1 domain	-;GO:0003676								K06881
k141_4977_21785_22156_-	PF02033	Ribosome-binding factor A			IPR000238	Ribosome-binding factor A	GO:0006364			TIGR00082	rbfA: ribosome-binding factor A	MF_00003	Ribosome-binding factor A [rbfA].		K02834
k141_4977_22220_25997_-	PF00009;PF01248;PF04296;PF04760;PF11987	Elongation factor Tu GTP binding domain;Ribosomal protein L7Ae/L30e/S12e/Gadd45 family;Protein of unknown function (DUF448);Translation initiation factor IF-2, N-terminal region;Translation-initiation factor 2			IPR000178;IPR000795;IPR004038;IPR007393;IPR006847;IPR023115;IPR005225	Translation initiation factor IF-2, bacterial-like;Translational (tr)-type GTP-binding domain;Ribosomal protein L7Ae/L30e/S12e/Gadd45;YlxR domain;Translation initiation factor IF-2, N-terminal;Translation initiation factor IF- 2, domain 3;Small GTP-binding protein domain	GO:0003743;GO:0003924;GO:0005525;GO:0006413;-			TIGR00231;TIGR00487	small_GTP: small GTP-binding protein domain;IF-2: translation initiation factor IF-2	MF_00100_B	Translation initiation factor IF-2 [infB].		K02519;K07742
k141_4977_26006_27220_-	PF00575;PF08529;PF13184	S1 RNA binding domain;NusA N-terminal domain;NusA-like KH domain			IPR030842;IPR003029;IPR013735;IPR025249;IPR010213	Transcription termination/antitermination protein NusA, bacterial;S1 domain;Transcription factor NusA, N-terminal;KH domain, NusA-like;Transcription termination factor NusA	GO:0006353;GO:0031564;GO:0003676;GO:0003700;GO:0031554;GO:0003723			TIGR01953	NusA: transcription termination factor NusA	MF_00945_B	Transcription termination/antitermination protein NusA [nusA].		K02600
k141_4977_27308_27772_-	PF02576;PF17384	RimP N-terminal domain;RimP C-terminal SH3 domain			IPR003728;IPR028989;IPR028998	Ribosome maturation factor RimP;Ribosome maturation factor RimP, N-terminal;Ribosome maturation factor RimP, C-terminal	GO:0042274;-					MF_01077	Ribosome maturation factor RimP [rimP].		K09748
k141_4977_28029_33528_-	PF00929;PF02811;PF04551;PF07733;PF11490;PF14480;PF14579;PF17657	Exonuclease;PHP domain;GcpE protein;Bacterial DNA polymerase III alpha NTPase domain;DNA polymerase III polC-type N-terminus II;DNA polymerase III polC-type N-terminus I;Helix-hairpin-helix motif;Bacterial DNA polymerase III alpha subunit finger domain			IPR004588;IPR006308;IPR013520;IPR004013;IPR011708;IPR024754;IPR028112;IPR029460;IPR040982;IPR006054	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, bacterial-type;DNA polymerase III, alpha subunit, Gram-positive type;Exonuclease, RNase T/DNA polymerase III;PHP domain;Bacterial DNA polymerase III, alpha subunit, NTPase domain;DNA polymerase III PolC-like, N-terminal domain II;DNA polymerase III PolC-type, N-terminal domain I;DNA polymerase, helix-hairpin-helix motif;DNA polymerase III alpha subunit finger domain;DNA polymerase III epsilon subunit, exonuclease domain	GO:0016114;GO:0046429;GO:0003677;GO:0003887;GO:0005737;GO:0006260;-;GO:0003824;GO:0008408			TIGR00573;TIGR00612;TIGR01405	dnaq: exonuclease, DNA polymerase III, epsilon subunit family;ispG_gcpE: 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase;polC_Gram_pos: DNA polymerase III, alpha subunit, Gram-positive type	MF_00159;MF_00356	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin) [ispG].;DNA polymerase III PolC-type [polC].		K03763;K03526;K02342;K09951
k141_4977_3018_6697_-	PF00953;PF01098;PF01225;PF02875;PF08245	Glycosyl transferase family 4;Cell cycle protein;Mur ligase family, catalytic domain;Mur ligase family, glutamate ligase domain;Mur ligase middle domain			IPR003524;IPR005863;IPR000715;IPR001182;IPR000713;IPR004101;IPR013221;IPR013437	Phospho-N-acetylmuramoyl-pentapeptide transferase;UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase;Glycosyl transferase, family 4;Probable peptidoglycan glycosyltransferase FtsW/RodA;Mur ligase, N-terminal catalytic domain;Mur ligase, C-terminal;Mur ligase, central;Probable peptidoglycan glycosyltransferase FtsW	GO:0008963;GO:0016020;GO:0005524;GO:0047480;GO:0071555;GO:0016780;GO:0051301;GO:0009058;GO:0016881;GO:0009252			TIGR00445;TIGR01143;TIGR02614	mraY: phospho-N-acetylmuramoyl-pentapeptide-transferase;murF: UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase;ftsW: cell division protein FtsW	MF_00038;MF_02019	Phospho-N-acetylmuramoyl-pentapeptide-transferase [mraY].;UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [murF].		K01929;K03588;K01000
k141_4977_33759_35078_-	PF02163;PF17820	Peptidase family M50;PDZ domain			IPR008915;IPR041489;IPR004387	Peptidase M50;PDZ domain 6;Peptidase M50, putative membrane-associated zinc metallopeptidase	GO:0004222;GO:0006508;-;GO:0016020			TIGR00054	TIGR00054: RIP metalloprotease RseP				K11749
k141_4977_35215_38029_-	PF01148;PF01255;PF02670;PF08436;PF13288	Cytidylyltransferase family;Putative undecaprenyl diphosphate synthase;1-deoxy-D-xylulose 5-phosphate reductoisomerase;1-deoxy-D-xylulose 5-phosphate reductoisomerase C-terminal domain;DXP reductoisomerase C-terminal domain			IPR003821;IPR001441;-;IPR013512;IPR013644;IPR026877	1-deoxy-D-xylulose 5-phosphate reductoisomerase;Decaprenyl diphosphate synthase-like;-;1-deoxy-D-xylulose 5-phosphate reductoisomerase, N-terminal;1-deoxy-D-xylulose 5-phosphate reductoisomerase, C-terminal;DXP reductoisomerase C-terminal domain	GO:0008299;GO:0030604;GO:0046872;GO:0016765;GO:0070402;GO:0005515;-			TIGR00055;TIGR00243	uppS: di-trans,poly-cis-decaprenylcistransferase;Dxr: 1-deoxy-D-xylulose 5-phosphate reductoisomerase	MF_00183;MF_01139	1-deoxy-D-xylulose 5-phosphate reductoisomerase [dxr].;Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific) [uppS].		K00099;K00806;K00981
k141_4977_38112_38312_-															
k141_4977_38315_38872_-	PF01765	Ribosome recycling factor			IPR002661;IPR023584	Ribosome recycling factor;Ribosome recycling factor domain	GO:0006412;-			TIGR00496	frr: ribosome recycling factor	MF_00040	Ribosome-recycling factor [frr].		K02838
k141_4977_38886_39593_-	PF00696	Amino acid kinase family			IPR015963;IPR001048	Uridylate kinase, bacteria;Aspartate/glutamate/uridylate kinase	GO:0005737;GO:0006221;GO:0033862;-			TIGR02075	pyrH_bact: UMP kinase	MF_01220_B	Uridylate kinase [pyrH].		K09903
k141_4977_39734_40381_-	PF00889	Elongation factor TS			IPR001816;IPR014039	Translation elongation factor EFTs/EF1B;Translation elongation factor EFTs/EF1B, dimerisation	GO:0003746;GO:0006414			TIGR00116	tsf: translation elongation factor Ts	MF_00050	Elongation factor Ts [tsf].		K02357
k141_4977_40577_41335_-	PF00318	Ribosomal protein S2			IPR005706;IPR001865	Ribosomal protein S2, bacteria/mitochondria/plastid;Ribosomal protein S2	GO:0003735;GO:0006412;GO:0015935;GO:0005840			TIGR01011	rpsB_bact: ribosomal protein uS2	MF_00291_B	30S ribosomal protein S2 [rpsB].		K02967
k141_4977_41514_43473_+	PF00009;PF00679;PF03144	Elongation factor Tu GTP binding domain;Elongation factor G C-terminus;Elongation factor Tu domain 2			IPR006298;IPR000795;IPR000640;IPR004161;IPR005225	GTP-binding protein TypA;Translational (tr)-type GTP-binding domain;Elongation factor EFG, domain V-like;Translation elongation factor EFTu-like, domain 2;Small GTP-binding protein domain	GO:0003924;GO:0005525;-			TIGR00231;TIGR01394	small_GTP: small GTP-binding protein domain;TypA_BipA: GTP-binding protein TypA/BipA	MF_00849	50S ribosomal subunit assembly factor BipA [bipA].		K06207
k141_4977_43634_44755_+	PF02618	YceG-like family			IPR003770	Endolytic murein transglycosylase	-			TIGR00247	TIGR00247: conserved hypothetical protein, YceG family	MF_02065	Endolytic murein transglycosylase [mltG].		K07082
k141_4977_44877_46867_+	PF01136;PF01596;PF16325	Peptidase family U32;O-methyltransferase;Peptidase family U32 C-terminal domain			IPR043675;IPR001539;IPR002935;IPR032525	tRNA 5-hydroxyuridine methyltransferase;Peptidase U32;Class I-like SAM-dependent O-methyltransferase;Peptidase family U32, C-terminal	GO:0008033;GO:0008171;-					MF_02217	tRNA 5-hydroxyuridine methyltransferase [trmR].		K08303;K00588
k141_4977_47065_49554_+	PF00905;PF03717;PF04542;PF04545	Penicillin binding protein transpeptidase domain;Penicillin-binding Protein dimerisation domain;Sigma-70 region 2;Sigma-70, region 4			IPR001460;IPR005311;IPR007627;IPR007630;IPR014209;IPR014284	Penicillin-binding protein, transpeptidase;Penicillin-binding protein, dimerisation domain;RNA polymerase sigma-70 region 2;RNA polymerase sigma-70 region 4;RNA polymerase sigma-K type;RNA polymerase sigma-70 like domain	GO:0008658;GO:0003700;GO:0006352;GO:0006355;GO:0003677;GO:0016987			TIGR02846;TIGR02937	spore_sigmaK: RNA polymerase sigma-K factor;sigma70-ECF: RNA polymerase sigma factor, sigma-70 family				K03091
k141_4977_475_1083_-															
k141_4977_49619_50764_-	PF01594	AI-2E family transporter			IPR002549;IPR014227	Transmembrane protein TqsA-like;Putative transport protein YtvI-like	-			TIGR02872	spore_ytvI: sporulation integral membrane protein YtvI				
k141_4977_50988_53412_-	PF00488;PF01713;PF20297	MutS domain V;Smr domain;MutS2 and Smr-associated SH3 domain			IPR005747;IPR000432;IPR002625;IPR046893	Endonuclease MutS2;DNA mismatch repair protein MutS, C-terminal;Smr domain;MutS2 and Smr-associated SH3 domain	GO:0004519;GO:0016887;GO:0030983;GO:0045910;GO:0005524;GO:0006298;-			TIGR01069	mutS2: MutS2 family protein	MF_00092	Endonuclease MutS2 [mutS2].		K07456
k141_4977_53642_53854_+															
k141_4977_53908_54330_-	PF12953	Domain of unknown function (DUF3842)			IPR024208	Protein of unknown function DUF3842	-								
k141_4977_54398_54490_-															
k141_4977_54705_55763_-	PF01520;PF07833	N-acetylmuramoyl-L-alanine amidase;Copper amine oxidase N-terminal domain			IPR002508;IPR012854	N-acetylmuramoyl-L-alanine amidase, catalytic domain;Copper amine oxidase-like, N-terminal	GO:0008745;GO:0009253;-								K01448
k141_4977_55920_56216_-															
k141_4977_56495_58347_-	PF00528	Binding-protein-dependent transport system inner membrane component			IPR000515	ABC transporter type 1, transmembrane domain MetI-like	GO:0016020;GO:0055085								K02025;K02026
k141_4977_58499_59878_-	PF13416	Bacterial extracellular solute-binding protein			IPR006059	Bacterial extracellular solute-binding protein	-								K02027
k141_4977_60335_60436_+															
k141_4977_60561_62182_-	PF09547;PF20438;PF20439	Stage IV sporulation protein A, ATPase domain;Stage IV sporulation protein A, middle domain;Sporulation stage IV protein A, C-terminal			IPR046842;IPR046841;IPR046840;IPR014201	Stage IV sporulation protein A, ATPase domain;Stage IV sporulation protein A, middle domain;Sporulation stage IV protein A, C-terminal;Sporulation stage IV, protein A	-;GO:0005524;GO:0016887;GO:0043934			TIGR02836	spore_IV_A: stage IV sporulation protein A				K06398
k141_4977_62398_65446_-	PF01210;PF01926;PF02660;PF07479;PF14714	NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus;50S ribosome-binding GTPase;Glycerol-3-phosphate acyltransferase;NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus;KH-domain-like of EngA bacterial GTPase enzymes, C-terminal			IPR016484;IPR006168;IPR003811;IPR011128;IPR006073;IPR006109;IPR032859;IPR005225	GTP-binding protein EngA;Glycerol-3-phosphate dehydrogenase, NAD-dependent;Glycerol-3-phosphate acyltransferase, PlsY;Glycerol-3-phosphate dehydrogenase, NAD-dependent, N-terminal;GTP binding domain;Glycerol-3-phosphate dehydrogenase, NAD-dependent, C-terminal;GTPase Der, C-terminal KH-domain-like;Small GTP-binding protein domain	GO:0005525;GO:0006072;GO:0009331;GO:0047952;GO:0005886;GO:0008654;GO:0043772;GO:0016616;GO:0046168;GO:0051287;GO:0005975;-			TIGR00023;TIGR00231;TIGR03594	TIGR00023: acyl-phosphate glycerol 3-phosphate acyltransferase;small_GTP: small GTP-binding protein domain;GTPase_EngA: ribosome-associated GTPase EngA	MF_00195;MF_00394;MF_01043	GTPase Der [der].;Glycerol-3-phosphate dehydrogenase [NAD(P)+] [gpsA].;Glycerol-3-phosphate acyltransferase [plsY].		K03977;K00057;K08591
k141_4977_65459_67087_-	PF01783;PF04459;PF17820;PF19238	Ribosomal L32p protein family;Protein of unknown function (DUF512);PDZ domain;Radical SAM-like domain			IPR002677;IPR007549;IPR041489;IPR045375	Ribosomal protein L32p;Domain of unknown function DUF512;PDZ domain 6;Putative radical SAM, N-terminal	GO:0003735;GO:0006412;GO:0015934;-			TIGR01031	rpmF_bact: ribosomal protein bL32	MF_00340	50S ribosomal protein L32 [rpmF].		K02911
k141_4977_67190_67693_-	PF02620	Large ribosomal RNA subunit accumulation protein YceD			IPR003772	Large ribosomal RNA subunit accumulation protein YceD	-								K07040
k141_4977_6719_8176_-	PF01225;PF02875;PF08245	Mur ligase family, catalytic domain;Mur ligase family, glutamate ligase domain;Mur ligase middle domain			IPR005761;IPR000713;IPR004101;IPR013221	UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase;Mur ligase, N-terminal catalytic domain;Mur ligase, C-terminal;Mur ligase, central	GO:0005524;GO:0005737;GO:0008360;GO:0016881;GO:0051301;GO:0009058			TIGR01085	murE: UDP-N-acetylmuramyl-tripeptide synthetase	MF_00208	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [murE].		K01928
k141_4977_67935_69134_-	PF00871	Acetokinase family			IPR004372;IPR000890	Acetate/propionate kinase;Aliphatic acid kinase, short-chain	GO:0006082;GO:0016301;GO:0016774;GO:0016310			TIGR00016	ackA: acetate kinase	MF_00020	Acetate kinase [ackA].		K00925
k141_4977_69144_70268_-	PF01515	Phosphate acetyl/butaryl transferase			IPR002505;IPR004614	Phosphate acetyl/butaryl transferase;Phosphate acetyltransferase	GO:0016746;GO:0016407			TIGR00651	pta: phosphate acetyltransferase				K00625
k141_4977_70519_75569_-	PF01425;PF02637;PF02686;PF02934;PF13181	Amidase;GatB domain;Glu-tRNAGln amidotransferase C subunit;GatB/GatE catalytic domain;Tetratricopeptide repeat			IPR004412;IPR004413;IPR003837;IPR023631;IPR018027;IPR006075;IPR019734	Glutamyl-tRNA(Gln) amidotransferase A subunit;Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit;Glu-tRNAGln amidotransferase C subunit;Amidase signature domain;Asn/Gln amidotransferase;Aspartyl/Glutamyl-tRNA(Gln) amidotransferase, subunit B/E, catalytic;Tetratricopeptide repeat	GO:0006412;GO:0030956;GO:0050567;GO:0016884;GO:0006450;-;GO:0016874;GO:0005515			TIGR00132;TIGR00133;TIGR00135	gatA: aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, A subunit;gatB: aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit;gatC: aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, C subunit	MF_00120;MF_00121;MF_00122	Glutamyl-tRNA(Gln) amidotransferase subunit A [gatA].;Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B [gatB].;Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C [gatC].		K02434;K02433;K01426;K02435
